split,random_seed,fold,heldout_scenario,heldout_config,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,test_count,protocol,run_dir
leave_scenario_out,22,holdout_SSE,SSE,,multi_wall_linear,9.79580849468331,7.791382665293398,6.821711547711345,16.434904081185728,20.09298463209834,-3.970094873447252,8.955233707745295,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_SSE,SSE,,direct_rf,10.233323465813127,8.03738906347514,6.54871472277722,16.98065432900435,20.852251652838483,-3.8000568027608383,9.501603941006628,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_SSE,SSE,,direct_extra,9.79868565830055,7.71051053232053,6.483772803585282,15.648500000000016,19.787195238095254,-3.5742981750318004,9.123520876621548,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_SSE,SSE,,wallpath_residual_extra,10.040329707322256,7.848684836948934,6.558881137419114,16.391054556247017,19.379087277457664,-3.96728878506985,9.223277092638863,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_SSE,SSE,,wallpath_residual_rf,10.030517000976037,7.875892483948746,6.544124617455729,17.00558354900759,20.593675962194425,-3.984924930694682,9.204979337488885,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,33,holdout_Comms,Comms,,log_distance,15.643411327913832,13.09462898209432,11.631089185047728,25.68539049420793,27.96416443488424,-12.757977027094231,9.052642716380593,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Comms,Comms,,multi_wall_linear,9.482231582019024,7.445694747385867,6.016049421290106,15.259524583719934,19.306893933000183,4.127525701802376,8.536758597734845,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Comms,Comms,,direct_rf,9.950932365204286,7.827078675915326,6.379154761904772,17.22729761904759,20.09562976190478,-4.118855456312688,9.05848136648044,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Comms,Comms,,direct_extra,10.787825672985145,8.406734441615033,6.598333333333315,19.14158333333333,21.54294026806528,-4.689146404069724,9.715404713748026,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Comms,Comms,,wallpath_residual_extra,10.681776050153893,8.341514044860427,6.800574573664562,17.13601454089563,20.984019425602,5.395118547688544,9.219166743368316,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Comms,Comms,,wallpath_residual_rf,10.95894127415388,8.466324716887106,6.773932681428178,18.2974235527371,21.8061170400778,5.388088682268139,9.542897578951974,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Library,Library,,log_distance,15.38199404245583,13.92357849832046,14.55296764793465,22.44472939058985,24.31860957990501,13.562103252874635,7.257761092824277,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Library,Library,,multi_wall_linear,11.276905352139998,9.544031692207565,9.054897061054234,18.063514394706203,20.750227926345687,8.595170252511052,7.30011250950784,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Library,Library,,direct_rf,12.611794490610311,10.7765296135573,10.460529761904724,20.13421944444444,22.00043789682539,10.06507344498042,7.599451086791636,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Library,Library,,direct_extra,12.013261643948988,10.314233976391575,9.98652651515144,18.47968809523812,20.576050000000016,9.528057564826348,7.316732492535953,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Library,Library,,wallpath_residual_extra,11.725200429260935,9.823167143273102,9.195971938702598,18.19311353071029,21.35412851789251,8.93196160568692,7.596077078392214,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_Library,Library,,wallpath_residual_rf,11.679050429894788,9.709861269538422,8.85686948696025,18.41844781103773,21.788977482949477,8.669153158838396,7.825982523148635,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_SSE,SSE,,log_distance,7.6452516112722115,6.211411661632073,5.58568355615229,12.611787093237592,14.43136012399613,-2.248830304331704,7.307026376165596,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_SSE,SSE,,multi_wall_linear,9.79580849468331,7.791382665293398,6.821711547711345,16.434904081185728,20.09298463209834,-3.970094873447252,8.955233707745295,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_SSE,SSE,,direct_rf,10.145504000776084,8.010159591217395,6.625276549839072,16.565330230880242,20.83752095862095,-3.694890970410343,9.44875823304542,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_SSE,SSE,,direct_extra,9.908834163305658,7.809636735410852,6.5265818001443,16.06275000000003,20.10946718750001,-3.661578687112021,9.20748803930694,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_SSE,SSE,,wallpath_residual_extra,10.04209443309031,7.868375372895429,6.551266847573785,16.62928287263455,19.63273470237106,-3.98173763632608,9.218970983714389,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
leave_scenario_out,33,holdout_SSE,SSE,,wallpath_residual_rf,9.95763646966592,7.839535392124898,6.644342639980344,16.52934626729071,20.222740521759118,-3.904404875874619,9.16024817498234,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed33
