protocol,random_seed,fold,method,baseline,method_rmse,baseline_rmse,rmse_difference_db,rmse_improvement_percent,rmse_winner,method_mae,baseline_mae,mae_improvement_percent
leave_scenario_out,11,holdout_SSE,wallpath_residual_rf,multi_wall_linear,9.979450982191258,9.79580849468331,-0.18364248750794765,-1.8747047536466221,multi_wall_linear,7.846863786901098,7.791382665293398,-0.7120831306982277
leave_scenario_out,22,holdout_Comms,wallpath_residual_rf,multi_wall_linear,11.040430583638036,9.482231582019024,-1.5581990016190126,-16.43283005841996,multi_wall_linear,8.54968345988532,7.445694747385867,-14.827208876472639
leave_scenario_out,22,holdout_Library,wallpath_residual_rf,multi_wall_linear,11.698887211370916,11.276905352139998,-0.42198185923091813,-3.742000540519207,multi_wall_linear,9.72333343586753,9.544031692207565,-1.8786792567585568
leave_scenario_out,22,holdout_SSE,wallpath_residual_rf,multi_wall_linear,10.030517000976037,9.79580849468331,-0.23470850629272633,-2.3960095424498626,multi_wall_linear,7.875892483948746,7.791382665293398,-1.0846575285256665
leave_scenario_out,33,holdout_Comms,wallpath_residual_rf,multi_wall_linear,10.95894127415388,9.482231582019024,-1.4767096921348557,-15.573440485624843,multi_wall_linear,8.466324716887106,7.445694747385867,-13.707652598296164
leave_scenario_out,33,holdout_Library,wallpath_residual_rf,multi_wall_linear,11.679050429894788,11.276905352139998,-0.40214507775479014,-3.5660942891435705,multi_wall_linear,9.709861269538422,9.544031692207565,-1.7375212350379408
leave_scenario_out,33,holdout_SSE,wallpath_residual_rf,multi_wall_linear,9.95763646966592,9.79580849468331,-0.16182797498260904,-1.652012440529451,multi_wall_linear,7.839535392124898,7.791382665293398,-0.6180254378468084
leave_scenario_out,11,holdout_Comms,wallpath_residual_extra,multi_wall_linear,10.668145339614872,9.482231582019024,-1.1859137575958485,-12.506694730433226,multi_wall_linear,8.329172791041909,7.445694747385867,-11.865622666927433
leave_scenario_out,11,holdout_Library,wallpath_residual_extra,multi_wall_linear,11.770240749675406,11.276905352139998,-0.49333539753540734,-4.374740960664248,multi_wall_linear,9.869265235447346,9.544031692207565,-3.4077165052304377
leave_scenario_out,11,holdout_SSE,wallpath_residual_extra,multi_wall_linear,10.013242216128363,9.79580849468331,-0.2174337214450528,-2.219660802506146,multi_wall_linear,7.83367177907077,7.791382665293398,-0.5427677678539511
leave_scenario_out,22,holdout_Comms,wallpath_residual_extra,multi_wall_linear,10.720876157991096,9.482231582019024,-1.2386445759720726,-13.062796086112163,multi_wall_linear,8.377795030593612,7.445694747385867,-12.518647551794942
leave_scenario_out,22,holdout_Library,wallpath_residual_extra,multi_wall_linear,11.71478048746046,11.276905352139998,-0.4378751353204624,-3.8829370438705295,multi_wall_linear,9.826673753240318,9.544031692207565,-2.9614535046391612
leave_scenario_out,22,holdout_SSE,wallpath_residual_extra,multi_wall_linear,10.040329707322256,9.79580849468331,-0.24452121263894533,-2.496182043285754,multi_wall_linear,7.848684836948934,7.791382665293398,-0.7354557479353142
leave_scenario_out,33,holdout_Comms,wallpath_residual_extra,multi_wall_linear,10.681776050153893,9.482231582019024,-1.199544468134869,-12.650444758273386,multi_wall_linear,8.341514044860427,7.445694747385867,-12.031372865360565
leave_scenario_out,33,holdout_Library,wallpath_residual_extra,multi_wall_linear,11.725200429260935,11.276905352139998,-0.4482950771209371,-3.9753377644148173,multi_wall_linear,9.823167143273102,9.544031692207565,-2.924712113995214
leave_scenario_out,33,holdout_SSE,wallpath_residual_extra,multi_wall_linear,10.04209443309031,9.79580849468331,-0.24628593840700042,-2.5141971542284893,multi_wall_linear,7.868375372895429,7.791382665293398,-0.988177720303661
