task,scope,building,baseline_method,metric,num_valid_maps,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,building_winner
task2,overall,22,direct_extra_all_features,p90_ae,150,6.757183952331543,6.8106976164711845,0.05351366413964166,-0.09187110265095999,0.7857295559594759,0.3,wallpath_extra
task2,overall,22,direct_extra_all_features,rmse,150,4.111579509771918,4.209373431594794,0.09779392182287665,-0.03910921952741986,2.323241770113637,0.43333333333333335,wallpath_extra
task2,overall,22,direct_extra_all_features,wall_region_rmse,150,6.502464805353828,5.9988383338877895,-0.503626471466039,-0.3596197735534665,-8.395399966373871,0.15333333333333332,baseline
task2,overall,22,direct_rf_all_features,free_space_rmse,150,3.957331514818341,3.911730785640242,-0.04560072917809823,-0.05934550618368384,-1.1657430349117206,0.32,baseline
task2,overall,22,direct_rf_all_features,high_wall_rmse,150,4.611060114879655,4.521352829154914,-0.08970728572474136,-0.06745633784738203,-1.9840806306087064,0.28,baseline
task2,overall,22,direct_rf_all_features,los_rmse,150,2.0491499207465904,1.8037621839195246,-0.24538773682706586,-0.31472280483862475,-13.60421784061606,0.29333333333333333,baseline
task2,overall,22,direct_rf_all_features,mae,150,2.630963104036119,2.702604134877523,0.07164103084140351,0.05537251631418849,2.6508148166009655,0.6266666666666667,wallpath_extra
task2,overall,22,direct_rf_all_features,nlos_rmse,150,4.343566227106807,4.267479305081594,-0.07608692202521318,-0.06653948789537667,-1.7829476509613404,0.2866666666666667,baseline
task2,overall,22,direct_rf_all_features,non_anchor_rmse,150,4.130785407934441,4.061648859800126,-0.0691365481343153,-0.06311859921048901,-1.7021793493423099,0.26,baseline
task2,overall,22,direct_rf_all_features,p90_ae,150,6.757183952331543,6.689771748118931,-0.06741220421261254,-0.10180171330769827,-1.0076906470174791,0.20666666666666667,baseline
task2,overall,22,direct_rf_all_features,rmse,150,4.111579509771918,4.043498708190819,-0.06808080158109817,-0.06290375765762612,-1.6837102344855177,0.26666666666666666,baseline
task2,overall,22,direct_rf_all_features,wall_region_rmse,150,6.502464805353828,6.163122456464824,-0.33934234888900416,-0.18773230663481266,-5.506013409372552,0.21333333333333335,baseline
task2,overall,22,multi_wall_residual_idw,free_space_rmse,150,3.957331514818341,4.788913914420351,0.8315823996020102,0.7736116089728384,17.364738946297486,0.9933333333333333,wallpath_extra
task2,overall,22,multi_wall_residual_idw,high_wall_rmse,150,4.611060114879655,5.465013580512463,0.8539534656328075,0.7409858216276257,15.625825133864186,0.9933333333333333,wallpath_extra
task2,overall,22,multi_wall_residual_idw,los_rmse,150,2.0491499207465904,3.6700930870707764,1.6209431663241856,1.5495925030672093,44.16626848061543,1.0,wallpath_extra
task2,overall,22,multi_wall_residual_idw,mae,150,2.630963104036119,3.4877026149961687,0.8567395109600491,0.7886857191721598,24.564580342266098,0.9933333333333333,wallpath_extra
