task,verified_seed,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,winner
task3,33,direct_rf_all_features,los_rmse,5550,5267,283,4.247359907264938,4.924416506048773,0.6770565987838344,0.8290842465034967,13.748971029404,0.7780520220239225,wallpath_extra
task3,33,direct_rf_all_features,nlos_rmse,5550,5550,0,5.4228586270203305,5.936452613540658,0.5135939865203286,0.27938104697236543,8.651530130112613,0.8309909909909909,wallpath_extra
task3,33,direct_rf_all_features,high_wall_rmse,5550,5550,0,5.607143903545521,6.10714343007061,0.49999952652508917,0.21930685948682893,8.187125982061769,0.7945945945945946,wallpath_extra
task3,33,direct_rf_all_features,free_space_rmse,5550,5550,0,5.195684591650217,5.774343967602973,0.5786593759527559,0.3690486894477929,10.021214170810254,0.881981981981982,wallpath_extra
task3,33,direct_rf_all_features,wall_region_rmse,5550,5550,0,7.185751455117048,7.236380062401713,0.05062860728466403,-0.03923240409823103,0.6996399698202357,0.4493693693693694,wallpath_extra
task3,33,multi_wall_residual_idw,rmse,5550,5550,0,5.32388381842928,5.857407163064892,0.5335233446356116,0.7462481901387474,9.108524126508648,0.8634234234234234,wallpath_extra
task3,33,multi_wall_residual_idw,non_anchor_rmse,5550,5550,0,5.3449299702004485,5.8869506237687,0.5420206535682518,0.7520615101260437,9.207154742895767,0.8650450450450451,wallpath_extra
task3,33,multi_wall_residual_idw,mae,5550,5550,0,3.7438436886748754,4.158446584521113,0.414602895846238,0.6539915204048157,9.970138786668658,0.8601801801801802,wallpath_extra
task3,33,multi_wall_residual_idw,p90_ae,5550,5550,0,8.822854963637687,9.28683937957695,0.4639844159392623,0.9583642482757568,4.99614989529839,0.8295495495495495,wallpath_extra
task3,33,multi_wall_residual_idw,los_rmse,5550,5267,283,4.247359907264938,5.9435013633021345,1.6961414560371966,1.5566169560041612,28.53774824567116,0.9709512056198975,wallpath_extra
task3,33,multi_wall_residual_idw,nlos_rmse,5550,5550,0,5.4228586270203305,5.901021475124752,0.47816284810442067,0.696614537321808,8.103052160038324,0.850990990990991,wallpath_extra
task3,33,multi_wall_residual_idw,high_wall_rmse,5550,5550,0,5.607143903545521,6.0406881862469435,0.4335442827014214,0.669980830108031,7.177067733581893,0.8387387387387387,wallpath_extra
