task,verified_seed,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,winner
task3,22,direct_rf_all_features,non_anchor_rmse,5550,5550,0,5.355947497284676,5.911611562885348,0.5556640656006725,0.38443898991268544,9.399536144919887,0.8663063063063063,wallpath_extra
task3,22,direct_rf_all_features,mae,5550,5550,0,3.7484522812645715,4.332508274692673,0.5840559934281014,0.4527345895767213,13.480781948870748,0.9358558558558558,wallpath_extra
task3,22,direct_rf_all_features,p90_ae,5550,5550,0,8.819780102549373,9.816773792000504,0.9969936894511318,0.5813314914703374,10.156021831363388,0.8495495495495495,wallpath_extra
task3,22,direct_rf_all_features,los_rmse,5550,5267,283,4.305241543269265,5.0433448150635956,0.7381032717943308,0.8991524261795591,14.635193484882183,0.7657110309474084,wallpath_extra
task3,22,direct_rf_all_features,nlos_rmse,5550,5550,0,5.431374542247741,5.959727694984743,0.5283531527370006,0.3230855673740849,8.865390832900367,0.8499099099099099,wallpath_extra
task3,22,direct_rf_all_features,high_wall_rmse,5550,5550,0,5.613611426703948,6.131294690990417,0.5176832642864683,0.26441789079156175,8.443294448840872,0.8106306306306307,wallpath_extra
task3,22,direct_rf_all_features,free_space_rmse,5550,5550,0,5.207459962680419,5.806083527075708,0.598623564395289,0.4257782103352423,10.310281648614026,0.8888288288288289,wallpath_extra
task3,22,direct_rf_all_features,wall_region_rmse,5550,5550,0,7.192044095305398,7.258937732839228,0.06689363753382921,-0.01566757280030462,0.9215348029671708,0.4828828828828829,wallpath_extra
task3,22,multi_wall_residual_idw,rmse,5550,5550,0,5.335455215799356,5.8526341932807115,0.517178977481355,0.7351625874562917,8.836687214709546,0.8625225225225225,wallpath_extra
task3,22,multi_wall_residual_idw,non_anchor_rmse,5550,5550,0,5.355947497284676,5.882153572192332,0.5262060749076573,0.7407863168749871,8.945806471209394,0.8637837837837837,wallpath_extra
task3,22,multi_wall_residual_idw,mae,5550,5550,0,3.7484522812645715,4.156661694586814,0.40820941332224253,0.6566528081893919,9.820607095685698,0.8632432432432432,wallpath_extra
task3,22,multi_wall_residual_idw,p90_ae,5550,5550,0,8.819780102549373,9.283457158363618,0.46367705581424473,0.9488539695739746,4.9946592945335055,0.8299099099099099,wallpath_extra
task3,22,multi_wall_residual_idw,los_rmse,5550,5267,283,4.305241543269265,5.92816829244719,1.6229267491779256,1.4981022596798885,27.376529631347054,0.9724700968293146,wallpath_extra
task3,22,multi_wall_residual_idw,nlos_rmse,5550,5550,0,5.431374542247741,5.896218303101156,0.4648437608534134,0.6918620964040372,7.88376103050539,0.8531531531531531,wallpath_extra
task3,22,multi_wall_residual_idw,high_wall_rmse,5550,5550,0,5.613611426703948,6.03326307368825,0.41965164698430196,0.670438620765238,6.9556331600133685,0.8409009009009009,wallpath_extra
task3,22,multi_wall_residual_idw,free_space_rmse,5550,5550,0,5.207459962680419,5.687783073439248,0.4803231107588289,0.7299107060323748,8.444821199349832,0.8572972972972973,wallpath_extra
task3,22,multi_wall_residual_idw,wall_region_rmse,5550,5550,0,7.192044095305398,8.00269587980197,0.8106517844965708,0.6040341479085258,10.12973373813414,0.8223423423423424,wallpath_extra
task3,22,direct_extra_all_features,rmse,5550,5550,0,5.335455215799356,7.809553989387699,2.474098773588343,1.5085263628244325,31.68041064765496,0.9291891891891891,wallpath_extra
task3,22,direct_extra_all_features,non_anchor_rmse,5550,5550,0,5.355947497284676,7.822852591896619,2.4669050946119446,1.5014066886501487,31.534597713975995,0.9288288288288288,wallpath_extra
task3,22,direct_extra_all_features,mae,5550,5550,0,3.7484522812645715,6.258088693199931,2.5096364119353596,1.5426805019378662,40.10228258129902,0.9681081081081081,wallpath_extra
task3,22,direct_extra_all_features,p90_ae,5550,5550,0,8.819780102549373,12.630561367412945,3.810781264863573,2.370746612548828,30.17111555069476,0.918918918918919,wallpath_extra
task3,22,direct_extra_all_features,los_rmse,5550,5267,283,4.305241543269265,8.355267210778434,4.050025667509169,4.430988153369781,48.47272463392396,0.8606417315359788,wallpath_extra
task3,22,direct_extra_all_features,nlos_rmse,5550,5550,0,5.431374542247741,7.6487161247551345,2.2173415825073923,0.9720729198417084,28.989722540897404,0.9025225225225225,wallpath_extra
task3,22,direct_extra_all_features,high_wall_rmse,5550,5550,0,5.613611426703948,7.822637651036092,2.2090262243321437,0.8126969136349862,28.238892338820815,0.867927927927928,wallpath_extra
task3,22,direct_extra_all_features,free_space_rmse,5550,5550,0,5.207459962680419,7.784087085805679,2.5766271231252604,1.609413187287546,33.10121141660596,0.9398198198198198,wallpath_extra
task3,22,direct_extra_all_features,wall_region_rmse,5550,5550,0,7.192044095305398,8.236919025222619,1.0448749299172206,0.03597902067016223,12.685264074075086,0.5205405405405406,wallpath_extra
task3,33,direct_rf_all_features,rmse,5550,5550,0,5.32388381842928,5.8624599236212145,0.5385761051919342,0.3356481771760089,9.186862037587426,0.8554954954954955,wallpath_extra
task3,33,direct_rf_all_features,non_anchor_rmse,5550,5550,0,5.3449299702004485,5.880479507615535,0.5355495374150862,0.33361198906069434,9.107242644439472,0.854954954954955,wallpath_extra
task3,33,direct_rf_all_features,mae,5550,5550,0,3.7438436886748754,4.297756164342434,0.5539124756675583,0.41237616539001465,12.888410940184366,0.9295495495495496,wallpath_extra
task3,33,direct_rf_all_features,p90_ae,5550,5550,0,8.822854963637687,9.823297217300347,1.0004422536626592,0.4980900287628174,10.184383425767946,0.8425225225225226,wallpath_extra
