task,scope,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,wallpath_map_wins,baseline_map_wins,ties,wallpath_map_win_rate,baseline_map_win_rate,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,mean_wallpath_improvement_percent
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,high_wall_rmse,500,500,0,465,35,0,0.93,0.07,6.117624689264556,6.908957827856857,0.7913331385923003,0.8244023232379416,11.453726572214014
task2,overall,multi_wall_residual_idw,los_rmse,750,711,39,710,1,0,0.9985935302390999,0.0014064697609001407,2.823779631604143,4.998046476995108,2.1742668453909646,1.979917776598339,43.50233346965919
task2,Ant1-f1 source-like,multi_wall_residual_idw,los_rmse,250,238,12,238,0,0,1.0,0.0,1.3119460907450504,2.9881394489886195,1.6761933582435684,1.514726647701477,56.09488401924823
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,los_rmse,500,473,27,472,1,0,0.9978858350951374,0.0021141649048625794,3.5844908001548075,6.009373903349324,2.4248831031945173,2.224820338935599,40.351676267689186
task2,overall,multi_wall_residual_idw,mae,750,750,0,720,30,0,0.96,0.04,3.2537590808338592,3.9270056702825755,0.6732465894487168,0.6827697753906248,17.144018776022584
task2,Ant1-f1 source-like,multi_wall_residual_idw,mae,250,250,0,250,0,0,1.0,0.0,1.9211883625984194,2.458319154580434,0.537130791982015,0.5346242984135946,21.849514168297155
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,mae,500,500,0,470,30,0,0.94,0.06,3.9200444399515786,4.661348928133646,0.7413044881820678,0.8341936667760212,15.903218137305965
task2,overall,multi_wall_residual_idw,nlos_rmse,750,750,0,717,33,0,0.956,0.044,4.955199565154566,5.7153205016230615,0.7601209364684955,0.7272642463718522,13.299707973553415
task2,Ant1-f1 source-like,multi_wall_residual_idw,nlos_rmse,250,250,0,250,0,0,1.0,0.0,3.0700441909054788,3.755990827048945,0.685946636143466,0.605777876729789,18.26273459465314
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,nlos_rmse,500,500,0,467,33,0,0.934,0.066,5.897777252279109,6.694985338910119,0.7972080866310103,0.8430121051010748,11.907540439226524
task2,overall,multi_wall_residual_idw,non_anchor_rmse,750,750,0,723,27,0,0.964,0.036,4.839370463174079,5.655655562510223,0.8162850993361435,0.7956453500684217,14.433076595878145
task2,Ant1-f1 source-like,multi_wall_residual_idw,non_anchor_rmse,250,250,0,250,0,0,1.0,0.0,2.9812526366652317,3.6999845954287807,0.7187319587635487,0.6358746874192642,19.42526894980916
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,non_anchor_rmse,500,500,0,473,27,0,0.946,0.054,5.768429376428504,6.633491046050944,0.8650616696224408,0.912432224269043,13.040820642057389
task2,overall,multi_wall_residual_idw,p90_ae,750,750,0,713,37,0,0.9506666666666667,0.04933333333333333,7.978105586369832,8.855910984357198,0.8778053979873657,0.9639179706573486,9.912084702950311
task2,Ant1-f1 source-like,multi_wall_residual_idw,p90_ae,250,250,0,250,0,0,1.0,0.0,4.808398335774738,5.58636879825592,0.7779704624811807,0.7574721177419026,13.926228120206932
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,p90_ae,500,500,0,463,37,0,0.926,0.074,9.56295921166738,10.490682077407836,0.9277228657404581,1.1115096410115566,8.84330359928026
task2,overall,multi_wall_residual_idw,rmse,750,750,0,723,27,0,0.964,0.036,4.818543626874059,5.627272420473938,0.8087287935998779,0.7891945664757791,14.371594853973075
