task,scope,baseline_method,metric,num_buildings,buildings,cluster_mean_paired_difference,cluster_median_paired_difference,cluster_mean_improvement_percent,bootstrap_iterations,confidence,difference_ci_low,difference_ci_high,improvement_percent_ci_low,improvement_percent_ci_high,bootstrap_probability_wallpath_better,wallpath_building_wins,baseline_building_wins,building_ties,sign_test_p_two_sided,difference_ci_excludes_zero
task2,Ant1-f1 source-like,multi_wall_residual_idw,los_rmse,5,"B21,B22,B23,B24,B25",1.6875766001723072,1.7957562728592114,56.61334635158629,20000,0.95,1.397106971968811,1.9379869593554837,52.18229235672012,61.06291631655169,1.0,5,0,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,mae,5,"B21,B22,B23,B24,B25",0.537130791982015,0.56515043258667,23.42852473464057,20000,0.95,0.4771458752950033,0.5959330183664958,16.845621340301463,29.7568487504356,1.0,5,0,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,nlos_rmse,5,"B21,B22,B23,B24,B25",0.6859466361434661,0.6843259185028127,19.138856783050226,20000,0.95,0.6305028052372103,0.7436793657025237,15.552823982472727,23.309411985683848,1.0,5,0,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,non_anchor_rmse,5,"B21,B22,B23,B24,B25",0.7187319587635487,0.7228967801248051,20.319477461126567,20000,0.95,0.6557643706712231,0.7757036479618411,16.71936487509138,24.589265461691504,1.0,5,0,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,p90_ae,5,"B21,B22,B23,B24,B25",0.777970462481181,0.7944709237416585,14.898871640377203,20000,0.95,0.7040337931315104,0.8303404846191406,11.11369425142114,19.01395704818187,1.0,5,0,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,rmse,5,"B21,B22,B23,B24,B25",0.7143594058769955,0.7188950349897538,20.29953799910199,20000,0.95,0.6518383943767667,0.7715627123960779,16.701430418715194,24.57293251191539,1.0,5,0,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,wall_region_rmse,5,"B21,B22,B23,B24,B25",0.9701351779253203,0.8713358211073944,18.133765665322777,20000,0.95,0.844559117006544,1.129679747661268,15.956076121039278,20.806085125438223,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",1.170037581487866,0.8839996769024151,15.404697703587852,20000,0.95,0.500316079749987,2.190006185809905,8.373562594069366,23.253026406717368,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",1.1870491779050822,0.9123270884444566,13.98463432868186,20000,0.95,0.3698243313937602,2.3416412829877244,6.141382289456042,22.703207440651614,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.42475166413575016,-0.2779957873918329,-13.70800247145942,20000,0.95,-1.5855048835419914,0.5332265317212377,-50.80431866163569,16.570854148974952,0.24475,2,3,0,1.0,False
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,mae,5,"B21,B22,B23,B24,B25",1.1631339261531828,0.7714016739527384,21.624665376270094,20000,0.95,0.6500755739212035,1.9633345595200855,15.023193643073188,28.226137109467004,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,nlos_rmse,5,"B21,B22,B23,B24,B25",1.1112326317739096,0.8629880349624226,13.758288466399677,20000,0.95,0.38879623252522,2.1682645737927198,6.291044813897068,22.043546116643764,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,non_anchor_rmse,5,"B21,B22,B23,B24,B25",1.0898126438343811,0.8307924313182974,14.011282103896786,20000,0.95,0.41971515017750516,2.0396487733255446,7.084268163500927,21.229493500169372,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,p90_ae,5,"B21,B22,B23,B24,B25",1.920369555155436,1.710310405095418,14.447768032923964,20000,0.95,0.5779913231531779,3.664700006167094,6.125730470722246,22.769805595125682,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,rmse,5,"B21,B22,B23,B24,B25",1.0954563633423526,0.8377972773701562,14.122226319944152,20000,0.95,0.42275100306835967,2.0758783767344484,7.17213592404814,21.760380192130597,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,wall_region_rmse,5,"B21,B22,B23,B24,B25",0.2518349981466533,0.1850170318439217,1.4689505102255944,20000,0.95,-0.3521765604386665,0.9749444007646855,-5.1444579441940865,8.058064799631273,0.75445,3,2,0,1.0,False
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",0.233967088361576,0.16014420264125537,4.2603121904807315,20000,0.95,0.05441050639660905,0.41427854854408236,0.933091395020582,8.426289858775409,0.99965,4,1,0,0.375,True
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",0.2368181940118422,0.13047853125216466,3.8377482269445005,20000,0.95,0.029230668157288763,0.4468891719490314,0.3902797554140159,7.877835702070449,0.99265,4,1,0,0.375,True
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.592743737535858,-0.4246742007849564,-16.679975877301683,20000,0.95,-1.2807551516415892,-0.059567833383839995,-34.11003749689824,-1.4138652091256583,0.00865,1,4,0,0.375,True
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,mae,5,"B21,B22,B23,B24,B25",0.2722006637255351,0.21707610448201498,7.25655456396823,20000,0.95,0.12672723579406736,0.4491631722450256,3.09120046912328,13.499624625055436,1.0,5,0,0,0.0625,True
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,nlos_rmse,5,"B21,B22,B23,B24,B25",0.21773765289651498,0.13718683653505567,3.746687148772517,20000,0.95,0.030942966663610155,0.4061309956459116,0.45064682872581024,7.8468370134254375,0.99365,4,1,0,0.375,True
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,non_anchor_rmse,5,"B21,B22,B23,B24,B25",0.19931885602267468,0.12627055628658634,3.558612069928551,20000,0.95,0.03127994130463317,0.38089688756793927,0.4055521020683172,7.697001090593597,0.99355,4,1,0,0.375,True
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,p90_ae,5,"B21,B22,B23,B24,B25",0.4571986198425293,0.21267388184865318,4.653359809344882,20000,0.95,0.08948493862152099,0.8304184211095172,0.8042856336935145,9.369535081181755,0.9965,4,1,0,0.375,True
