fold,anchor_fraction,anchor_seed,model_seed,adapted_method,baseline_method,test_count,adapted_rmse,baseline_rmse,rmse_improvement_percent,adapted_mae,baseline_mae,mae_improvement_percent,adapted_p90_ae,baseline_p90_ae,p90_improvement_percent,adapted_point_wins,baseline_point_wins,ties,adapted_point_win_percent
holdout_SSE,0.05,22,11,bias_calibrated_multi_wall,multi_wall_linear,203,9.85526362482102,9.664302283853456,-1.975945447056348,8.037158592547675,7.735682388276639,-3.897215386297663,16.07874398749127,15.345751019697369,-4.776520659386762,98,105,0,48.275862068965516
holdout_SSE,0.05,33,11,bias_calibrated_multi_wall,multi_wall_linear,203,8.979795689664265,9.775830147675387,8.14288347880526,7.35581074370433,7.754634324168029,5.143035297238044,15.354874036976266,16.46106068411043,6.720020467465653,110,93,0,54.187192118226605
holdout_SSE,0.1,11,11,bias_calibrated_multi_wall,multi_wall_linear,193,9.880865702296562,9.523229798569801,-3.755405584988308,8.16409091901943,7.50602989957848,-8.767098296236528,15.872185939442867,16.09330657190551,1.3739913017543626,87,106,0,45.07772020725388
holdout_SSE,0.1,22,11,bias_calibrated_multi_wall,multi_wall_linear,193,9.002381814294045,9.780681940605271,7.957524138271503,7.259535049810712,7.699900251666592,5.71910268266873,14.72312275357901,16.46106068411043,10.557873297976592,115,78,0,59.58549222797927
holdout_SSE,0.1,33,11,bias_calibrated_multi_wall,multi_wall_linear,193,9.033346613563875,9.828539919428893,8.09065550309353,7.3684622651944816,7.894140462187244,6.659093532864653,14.691744879179709,16.302559395303106,9.880746188770125,116,77,0,60.10362694300518
holdout_Comms,0.01,11,11,direct_extra_with_anchors,direct_extra,1373,7.841727390309449,10.761085977561224,27.128847342537327,6.058597063278571,8.387056189376313,27.76253161445546,12.907661904761905,18.960607142857114,31.923794383216723,852,521,0,62.05389657683904
holdout_Comms,0.01,22,11,direct_extra_with_anchors,direct_extra,1373,8.033507063126823,10.813060685601588,25.70552134397943,6.327119192328815,8.42910957859048,24.937276786632566,13.343950000000044,18.960607142857114,29.622770518574825,832,541,0,60.5972323379461
holdout_Comms,0.01,33,11,direct_extra_with_anchors,direct_extra,1373,7.9496498985286,10.776363716819745,26.230683118826164,6.0934936516208245,8.391869455990198,27.388126286077657,12.797333333333325,18.960607142857114,32.50567749802059,845,528,0,61.54406409322652
holdout_Comms,0.05,11,11,direct_extra_with_anchors,direct_extra,1318,7.583954264189213,10.810841567237274,29.848622634775108,5.99252151172383,8.40878281957296,28.734971037958605,12.294806547619135,19.093294444444414,35.60667812779391,841,477,0,63.80880121396054
holdout_Comms,0.05,22,11,direct_extra_with_anchors,direct_extra,1318,7.8044264852844245,10.801846091652967,27.749141960879935,6.166683684355393,8.395178795623375,26.544939250486895,12.915033333333316,18.960607142857114,31.88491678549071,776,542,0,58.877086494688925
