split,method,anchor_mode,anchor_fraction,anchor_count,anchor_seed,random_seed,model_seed,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,unique_test_points
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.05,,11,11,11,7.899552789811839,6.297396136830403,5.418849025974012,13.037175396825418,15.439240277777772,-0.00904384633597752,7.899547612861604,2174,2174
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.05,,22,11,11,8.377580673901972,6.758533510187609,5.8146240079365015,13.998487391774887,16.07794990079367,1.4442265110786188,8.25215533860297,2174,2174
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.05,,33,11,11,7.863837428638679,6.215055496464998,5.148104170587892,13.177876767676766,15.4816484126984,1.007547116698461,7.799024805172195,2174,2174
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.1,,11,11,11,7.515340378931948,5.954183208470819,4.988046536796531,12.300813167388172,14.627534000721479,1.4821957287328211,7.367729421805009,2059,2059
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.1,,22,11,11,7.663311126590449,6.089782561916258,5.112029761904793,12.527605555555557,15.02862559523808,0.2150453921016425,7.6602932647687085,2059,2059
leave_scenario_fewshot,direct_rf_with_anchors,fraction,0.1,,33,11,11,7.491178140994434,5.890902101713366,4.8678115079365085,12.03989087301585,14.710234523809524,0.20276868010229088,7.488433401084795,2059,2059
leave_scenario_fewshot,log_distance,fraction,0.01,,11,11,11,14.97253466410494,12.679390590784596,11.90782859889552,24.08576184994428,26.730428945096577,-3.838258672953958,14.472199716260059,2265,2265
leave_scenario_fewshot,log_distance,fraction,0.01,,22,11,11,14.986251506052115,12.68524904370223,11.822344632596923,24.08576184994428,26.78024814203705,-3.8439037859728664,14.48489343719286,2265,2265
leave_scenario_fewshot,log_distance,fraction,0.01,,33,11,11,14.963119753316864,12.668589133047078,11.822344632596923,24.02933777916834,26.666463622764205,-3.84703027399988,14.46012831281347,2265,2265
leave_scenario_fewshot,log_distance,fraction,0.05,,11,11,11,15.011482341214002,12.711403472127762,12.016235040000474,24.08729952451212,26.767004893262747,-3.876263298844128,14.502385490622357,2174,2174
