split,fold,heldout_scenario,method,anchor_mode,anchor_fraction,anchor_count,anchor_seed,random_seed,model_seed,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,target_anchor_count,test_count
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.05,,11,11,11,7.236796480479702,5.772407556577058,4.685767314383966,11.57391745033927,13.852794629619959,0.0031140999735506563,7.236795810458159,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.05,,11,11,11,7.260406083925297,5.7330364574260075,4.701716413289745,11.860370005906125,14.195360627074127,0.02792510038922773,7.260352380722833,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.05,,11,11,11,8.150023067902238,6.47540418386593,5.615763410419191,13.291536504089276,15.977106095749445,3.315180160856878,7.44529761046525,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.05,,11,11,11,8.136637525625389,6.522111550798356,5.4887693416361,13.090841831513224,16.446785905790804,3.952898530223574,7.111924031735122,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.05,,11,11,11,7.259121609786039,5.907340230096863,5.24175000000001,11.724209090909092,13.763833333333363,2.7187534780146834,6.730767123548824,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.05,,11,11,11,7.993193479500235,6.567246038176681,5.833029761904797,12.70006659451663,14.936867063492045,3.9203206719062846,6.965789820985797,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.05,,22,11,11,15.474774429101455,14.031929008219594,14.821061003266095,22.510573823594434,24.382273002169907,13.713443089093404,7.170085234763154,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.05,,22,11,11,11.31136006464512,9.569836552729976,9.166008453870433,18.085282091281446,20.65442285447615,8.689492753247738,7.241517948835277,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.05,,22,11,11,7.794947761397082,6.467670272195394,5.770362045664939,13.06591025817551,14.627573355114718,3.057954925949822,7.170085234763154,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.05,,22,11,11,7.4881186017896475,5.983242139042272,5.027902127386383,12.408426476743683,15.166542441768597,1.9058693531206827,7.241517948835277,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.05,,22,11,11,9.0749860428389,7.329946078824725,6.217305639838244,14.745375697834257,16.389658006030743,5.0012699273508225,7.572494357310353,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.05,,22,11,11,9.552525844349288,7.690045433179606,6.716911086321105,15.653408991683927,18.39472046834009,5.5585818229868345,7.7687140585891985,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.05,,22,11,11,8.645914478493854,7.036828464255234,6.155895021645009,14.000683333333367,16.320933333333343,4.85720060746849,7.152582710338789,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.05,,22,11,11,9.373806868553867,7.733833564221241,7.04101839826842,15.106479365079366,17.72014256678284,6.041099217532563,7.167522267344212,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.05,,33,11,11,15.43439095390587,13.99424022888047,14.651855752693166,22.510573823594434,24.490349904050912,13.634194055413523,7.233890832556008,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.05,,33,11,11,11.36677395511057,9.647050858596298,9.249720727143782,18.22283359845671,20.873390890725634,8.701426441935155,7.3135988420319915,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.05,,33,11,11,7.379094111540262,5.989472689175417,5.075463251494384,11.98369192697089,13.806939167816575,1.456658274829871,7.233890832556006,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.05,,33,11,11,7.622226531121249,6.10632668391367,5.176036714197139,12.683436116008709,15.144233384806688,2.1470000627752635,7.3135988420319915,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.05,,33,11,11,8.965198760530232,7.208436953428528,6.3568984115263305,14.623206539832806,17.214174341663742,4.458150261565263,7.7781543479875985,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.05,,33,11,11,9.859187647203663,8.006980134688321,7.140517005159396,16.24420457974828,18.506122111628653,5.551880720492449,8.147404588468499,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.05,,33,11,11,8.186181219587738,6.642842604019907,5.826833333333326,13.27590000000002,15.394899999999991,4.001763314983772,7.141390153939292,653,1635,34,653
