scenario,config,source_file,coord,pl_db,p_rx_dbm,derived_pl_db,pl_minus_derived_db,consistent_with_received_power
Comms,C1,PL_Comms_C1.csv,D-21,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-21,89.0,-79.0,89.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-21,74.0,-64.0,74.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-21,77.0,-67.0,77.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-21,80.0,-70.0,80.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-21,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-21,81.0,-71.0,81.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-21,76.0,-66.0,76.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-21,95.0,-85.0,95.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-21,83.0,-73.0,83.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-21,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-21,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-22,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-22,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-22,83.0,-73.0,83.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-22,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-22,77.0,-67.0,77.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-22,79.0,-69.0,79.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-22,75.0,-65.0,75.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-22,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-22,78.0,-68.0,78.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-22,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-22,79.0,-69.0,79.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-22,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-22,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-22,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-23,73.0,-63.0,73.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-23,68.0,-58.0,68.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-23,80.0,-70.0,80.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-23,74.0,-64.0,74.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-23,77.0,-67.0,77.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-23,79.0,-69.0,79.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-23,68.0,-58.0,68.0,0.0,True
